name,brand,model,memory size,memory type,price
ASUS GeForce RTX™ 3050 TUF GAMING OC 8GB GDDR6 128BIT Graphics Card,Asus,RTX 3050,8GB,GDDR6,16800.0
ASUS GeForce RTX™ 3050 PHOENIX NON-OC 8GB GDDR6 128 BIT Graphics Card,Asus,RTX 3050,8GB,GDDR6,15900.0
ASUS GeForce RTX ™ 3050 DUAL OC 8GB GDDR6 128BIT Graphics Card,Asus,RTX 3050,8GB,GDDR6,16350.0
ASUS GeForce® GTX 1650 PH OC 4GB GDDR6 128BIT Graphics Card,Asus,GTX 1650,4GB,GDDR6,8800.0
ASUS GT1030-SL 2GB BRK GDDR5 64BIT Graphics Card,Asus,GT 1030,2GB,GDDR5,4500.0
INNO3D GTX1630 TWIN X2 OC (N16302-04D6X) 4GB GDDR6 64BIT Graphics Card,Inno3D,GTX 1630,4GB,GDDR6,7995.0
COLORFUL GTX1630 NEW BATTLEAX (NB 4GD6-V) 4GB GDDR6 64BIT Graphics Card,COLORFUL,GTX 1630,4G,GDDR6,8300.0
COLORFUL GeForce RTX 2060 NEW BATTLEAX 6GB GDDR6 192BIT Graphics Card,COLORFUL,RTX 2060,6GB,GDDR6,17500.0
GIGABYTE GeForce® GTX 1650 OC 4GB GDDR6 128BIT (GV-N1656OC-4GD) Graphics Card,Gigabyte,GTX 1650,4GB,GDDR6,15500.0
ASUS TUF Gaming GeForce® GTX 1650 OC Edition 4GB GDDR6 128-bit Graphics Card,Asus,GTX 1650,4GB,GDDR6,10800.0
ASUS TUF Gaming GeForce® GTX 1660 Ti EVO OC Edition 6GB GDDR6 192-bit Graphics Card,Asus,GTX 1660,6GB,GDDR6,20900.0
Colorful GeForce® GTX 1660 SUPER™ NEW BATTLEAXE 6GB GDDR6 192BIT Graphics Card,COLORFUL,GTX 1660,6GB,GDDR6,14200.0
MSI GeForce RTX™3060 VENTUS 2X 12G OC 12GB GDDR6 192BIT Graphics Card,MSI,RTX 3060,12GB,GDDR6,19500.0
